Release 13.2 - par O.61xd (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu May 02 15:15:00 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       IP_watermarking_rijandal_map.ncd
OUTPUT FILE:      IP_watermarking_rijandal_pad.txt
PART TYPE:        xc6vlx75tl
SPEED GRADE:      -1l
PACKAGE:          ff784

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AC22      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AC23      |output_dev<18>       |IOB      |IO_L11N_SRCC_24           |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AC24      |output_dev<27>       |IOB      |IO_L16P_RS0_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AC25      |output_dev<9>        |IOB      |IO_L7P_D5_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AC26      |output_dev<19>       |IOB      |IO_L12P_D3_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AC27      |                     |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AC28      |watermark_output<127>|IOB      |IO_L2P_D15_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD1       |                     |OPAD     |MGTTXP1_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AD2       |                     |OPAD     |MGTTXN1_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AD3       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
